FALSEc,SKU1,SKU2,SKU3,SKU,Product Department,Category,Item / Service,Unit,Base Minimums,Base Cost,Target Margin Mark-Up (%),Suggested Price,Client Price,Actual Margin (%),Notes,Client Price 2026,% Increase,
TRUE,CORP_,ADDON_,PLUNGETOWEL1,CORP_ ADDON_ PLUNGETOWEL1,Corporate Events,Add-ons & Enhancements,Barton Springs_Towel Service (Hotel Provided),Flat Fee,n/a,$80.00,40%,$133.33,$150.00,53%,,$200,33.33%,
TRUE,CORP_,ADDON_,PLUNGETOWEL2,CORP_ ADDON_ PLUNGETOWEL2,Corporate Events,Add-ons & Enhancements,Barton Springs_Towel Service (Swift Provided),Per Person,n/a,$6.00,40%,$10.00,$10.00,40%,,$15,50.00%,
TRUE,CORP_,ADDON_,EOTOWELS,CORP_ ADDON_ EOTOWELS,Corporate Events,Add-ons & Enhancements,Chilled Essential Oil Towel Service,Per Person,$50 minimum contract total,$2.00,40%,$3.33,$3.00,30%,Never less than $50 total on any contract***,$4.00,33.33%,
TRUE,CORP_,ADDON_,CUSTOMROUTE,CORP_ ADDON_ CUSTOMROUTE,Corporate Events,Add-ons & Enhancements,Custom Route Creation,Flat Fee,n/a,$100.00,40%,$166.67,$500.00,240%,"For Tours, Runs, Excursions, Etc. ",$500,0.00%,
TRUE,CORP_,ADDON_,LIVEMUSIC,CORP_ ADDON_ LIVEMUSIC,Corporate Events,Add-ons & Enhancements,DJ / Live Music,Per Hour,2,$150.00,40%,$250.00,$250.00,40%,varies on the musician,350,40.00%,
TRUE,CORP_,ADDON_,SMOOTHIEBAR,CORP_ ADDON_ SMOOTHIEBAR,Corporate Events,Add-ons & Enhancements,Fresh Smoothie Bar Service (Onsite),Per Hour,2,$50.00,40%,$83.33,$125.00,90%,*does not include actual smoothies - only includes the service per hour,$150.00,20.00%,
TRUE,CORP_,ADDON_,SMOOTHIE,CORP_ ADDON_ SMOOTHIE,Corporate Events,Add-ons & Enhancements,Fresh Smoothies (Onsite),Per Person,10,$6.00,40%,$10.00,$10.00,40%,*Must be paired with the Fresh Smoothie Bar Service (Onsite) Charge per hour (2 hr min) - 10 Smoothie Minimum,$12.00,20.00%,
TRUE,CORP_,ADDON_,GGBREAK,CORP_ ADDON_ GGBREAK,Corporate Events,Add-ons & Enhancements,Grab & Go Breakfast Bar,Per Person,10,$12.00,40%,$20.00,$20.00,40%,,$24.00,20.00%,
TRUE,CORP_,ADDON_,GGJUICE,CORP_ ADDON_ GGJUICE,Corporate Events,Add-ons & Enhancements,Grab & Go Fresh Pressed Bottled Juices,Per Person,10,$5.00,40%,$8.33,$10.00,60%,,$12.00,20.00%,
TRUE,CORP_,ADDON_,GGHYDRATE,CORP_ ADDON_ GGHYDRATE,Corporate Events,Add-ons & Enhancements,Grab & Go Hydration Refreshment Station ,Per Person,10,$3.00,40%,$5.00,$5.00,40%,,$6.00,20.00%,
TRUE,CORP_,ADDON_,GGSNACK,CORP_ ADDON_ GGSNACK,Corporate Events,Add-ons & Enhancements,Grab & Go Nourishing Snack Bar,Per Person,10,$6.00,40%,$10.00,$10.00,40%,,$12.00,20.00%,
TRUE,CORP_,ADDON_,GGSMOOTHIE,CORP_ ADDON_ GGSMOOTHIE,Corporate Events,Add-ons & Enhancements,Grab & Go Smoothies (Pre-Made),Per Person,10,$6.00,40%,$10.00,$12.00,60%,* Can be stand alone - no service fee required,$14.40,20.00%,
TRUE,CORP_,ADDON_,EYEPILLOW,CORP_ ADDON_ EYEPILLOW,Corporate Events,Add-ons & Enhancements,Lavender Eye Pillows,Per Person,n/a,$10.00,40%,$16.67,$15.00,30%,,$18.00,20.00%,
TRUE,CORP_,ADDON_,BIBCUSTOM,CORP_ ADDON_ BIBCUSTOM,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Bibs (Customized),Per Person,n/a,$0.50,40%,$0.83,$1.00,60%,,$1.50,50.00%,
TRUE,CORP_,ADDON_,BIBSIMPLE,CORP_ ADDON_ BIBSIMPLE,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Bibs (Simple),Per Person,n/a,$0.25,40%,$0.42,$1.00,180%,,$1.00,0.00%,
TRUE,CORP_,ADDON_,RUNCONE,CORP_ ADDON_ RUNCONE,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Cone Rental & Set-Up,Flat Fee,n/a,$750.00,40%,"$1,250.00",$750.00,0%,,$750,0.00%,
TRUE,CORP_,ADDON_,RUNEMT,CORP_ ADDON_ RUNEMT,Corporate Events,Add-ons & Enhancements,Runs & Walks_ EMTs,Per Hour,1 EMT,$150.00,40%,$250.00,$150.00,0%,"per EMT per hour, minimum hours vary",$200,33.33%,
TRUE,CORP_,ADDON_,MEDALS,CORP_ ADDON_ MEDALS,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Medals,Per Person,n/a,$10.00,40%,$16.67,$15.00,30%,,$20.00,33.33%,
TRUE,CORP_,ADDON_,RUNPOLICE,CORP_ ADDON_ RUNPOLICE,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Police Detail,Flat Fee,n/a,$750.00,40%,"$1,250.00",$750.00,0%,,"$1,250",66.67%,
TRUE,CORP_,ADDON_,RUNPOSTRECOVER,CORP_ ADDON_ RUNPOSTRECOVER,Corporate Events,Add-ons & Enhancements,"Runs & Walks_ Post- Race Recovery (2 Cold Plunges, 4 Hyperice)",Per Hour,n/a,$300.00,40%,$500.00,$500.00,40%,,"$2,550.00",410.00%,
TRUE,CORP_,ADDON_,TRUSS,CORP_ ADDON_ TRUSS,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Start/Finish Truss - Basic,Flat Fee,n/a,$250.00,40%,$416.67,$600.00,84%,,$600,0.00%,
TRUE,CORP_,ADDON_,TRUSSCUSTOM,CORP_ ADDON_ TRUSSCUSTOM,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Start/Finish Truss - Customized,Flat Fee,n/a,$350.00,40%,$583.33,"$1,000.00",111%,,"$1,000.00",0.00%,
TRUE,CORP_,ADDON_,RUNVENUERENT2,CORP_ ADDON_ RUNVENUERENT2,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Venue Rental (Fairground),Flat Fee,n/a,"$1,000.00",40%,"$1,666.67","$1,500.00",30%,Only charge if the end time is 9pm or later**,"$1,800.00",20.00%,
TRUE,CORP_,ADDON_,RUNVENUERENT3,CORP_ ADDON_ RUNVENUERENT3,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Venue Rental (Other),Flat Fee,n/a,$0.00,40%,$0.00,$0.00,#DIV/0!,,$0.00,#DIV/0!,
TRUE,CORP_,ADDON_,RUNVENUERENT1,CORP_ ADDON_ RUNVENUERENT1,Corporate Events,Add-ons & Enhancements,Runs & Walks_ Venue Rental (The Driveway),Flat Fee,n/a,"$2,500.00",40%,"$4,166.67","$3,500.00",24%,,"$4,000",14.29%,
